"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Everyday Linen Pants","14499555420920","14995351634212","warehouse","1","Blue / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_7e333e7d-56b2-4930-9933-b69ee0fcdd63.jpg?v=1717074381"
"Breathable Sleeveless Dress","18499262200440","14995483099428","warehouse","1","Beige / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7a639f1a-dbb7-4aa8-989b-f958b82c73ce.jpg?v=1717493351"
"Breathable Sleeveless Dress","18499262221740","14995483132196","warehouse","1","Black / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_300439ac-778a-4634-8090-a9df3178d601.jpg?v=1717493357"
"Printed Satin Kimono","16499666762100","14995483164964","warehouse","1","1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_5b4cdda4-008b-4b67-b8c9-fbebc66a0ddc.jpg?v=1718103400"
"Plain Silk Scarf","10011040096022","14995553583396","warehouse","1","DustyRose","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_9d0be467-b974-40da-ab40-d1aaee662825.jpg?v=1719657568"
"Matte Magnet Pin","1001-18","14995638681892","warehouse","1","10","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_f2beb9b4-3a38-4642-a553-1d7dedf5f7c5.jpg?v=1716890614"
"Puffy Poplin Chemise","57499760107500","14995643629860","warehouse","1","Purple / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_9a03be42-aae1-4ced-abc1-8f51218b68b8.jpg?v=1720084576"
"Stripped Basic Shirt","43499464600140","14995643662628","warehouse","1","3 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_a08bbb66-af57-412e-a027-236afe14cd89.jpg?v=1719415351"
"Cotton Crinkle Modal","10011030959258","14995680854308","warehouse","1","WarmIvory","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_88117cc3-4b09-4df9-9700-dce54e77ef68.jpg?v=1716215990"
"No Thread Underscarf","10022323023100","14995731022116","warehouse","1","Cafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/H5YVKA5DpfbES5mWTeGHFisYqAwlafsHOM8NQ7TX_5c64d80c-946e-42e9-95ab-b8b92fe0eb88.jpg?v=1719499398"
"Everyday Linen Pants","14499555421720","14995752321316","warehouse","1","Black / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4b5b1d1b-71de-41b1-bdaa-6e0fa277d9d5.jpg?v=1717074375"
"Plain Cozzy Squared Scarf","10011130952063","14995822412068","warehouse","1","22","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/QAMo77mBhWdgMt6Zu52MbLZODJrDwDdcQU7s5C2Y_6fcc8397-8429-45d5-821d-17dd00bbafa8.jpg?v=1706296911"
"Floral Viscose Khemar","57066060236314","14995822444836","warehouse","1","Style 1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/aMhgSFwZ1Yojcb7EsucHFcAxP7buFOrMM34CC2Xz_accbf919-2b76-4420-8bf6-0224752c1f1f.jpg?v=1711881127"
"Floral Viscose Khemar","57066060236318","14995822477604","warehouse","1","Style 3 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/Ky9gWRj5Q00D2OvclsoM7GYZ0lug4FxHKUpXOYKZ_76ed920c-6546-4699-b451-e170a49822b5.jpg?v=1711881127"
"Luxury Linen Scarf","10411030981012","14995838894372","warehouse","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_11aec33a-2b7a-4179-8472-ff85e244ac32.jpg?v=1716393457"
"Everyday Linen Satin Scarf","10011013586125","14995838927140","warehouse","1","DustyPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_e20ab173-4e57-4c49-8bcd-6f69583bc1a2.jpg?v=1718287504"
"Everyday Linen Satin Scarf","10011030971114","14995838959908","warehouse","1","Almond","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/17_0e2ffffe-6af4-4af7-9999-b6550b396465.jpg?v=1718287616"
"Luxury Linen Scarf","10411030981114","14995838992676","warehouse","1","LightCafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_06d63d69-f41b-4bb1-a3d4-ea108476d450.jpg?v=1716393466"
"Basic Oversized Shirt","13499359300100","14995888472356","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_3a8bd888-420f-4e57-aefc-f66c6979e6c1.jpg?v=1715158262"
"Diamond Counter","10088484341404","14995909148964","warehouse","1","4","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/4_ccaed581-7742-4eab-983a-0678ad066b87.jpg?v=1709746332"
"Girly Chiffon Square","10011120030217","14995929497892","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/9opomw2iUv17iqbJN7JYhj2QIFpzTXdmXxUmdLdc_0568def0-fa82-4337-8877-a0759ad73616.jpg?v=1706296399"
"Shine Turkish Clips","0002-01-63","14995929530660","warehouse","1","LightGrey","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/iq4MJ9tXQ0SOe0r0MUDeahwqmWOI5uHBS5U4nKrU_bf5ac3fa-a447-4561-837b-379651f85758.jpg?v=1706293771"
"Tulip Turkish Clips","0002-01-19","14995929563428","warehouse","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_23d2f690-c774-40ad-bf25-e5daf81661af.jpg?v=1717325959"
"Syrian Underscarf Close-End","10022121100100","14995929661732","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/SJHePdX7w1UmbfjHVYG1t7OMNBsspBmIOmkTfjHq_644900bb-af99-4c90-9e1d-2193ce95c8f3.jpg?v=1706295921"
"Vital Shirt","10099959900100","14995929792804","warehouse","1","White / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_e284f09d-f739-45f6-9aa7-bb5e076d6a64.jpg?v=1719304806"
"Printed Satin Set","2","14995929825572","warehouse","1","2 / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_112888c1-4483-47cc-9d59-d68de35f87cc.jpg?v=1720439402"
"Pleated Plain Square Scarf","10011120019003","14995931529508","warehouse","1","20","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/YgfhhauskM16QyKQCBaQ4Re00ApSxHDRhmbzOV7s_042ce878-d1c0-4776-9168-0b6167800090.jpg?v=1706296478"
"Vibrant Chiffon Scarf","10011001015515","14995931562276","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/24_cad100e4-7365-4057-8946-abe0b49d94c8.jpg?v=1717421717"
"Blooming Chiffon Scarf","10011001013103","14995931595044","warehouse","1","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_b7327a32-66b0-4f2c-9a04-a0ca2db503cf.jpg?v=1720533834"
"Flowy Glittery Scarf","10011000944114","14995931627812","warehouse","1","Cafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_b1fea6ac-d84f-433d-9db8-30421279e825.jpg?v=1716974690"
"Pleated Plain Square Scarf","10011120019217","14995931693348","warehouse","1","15","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/6wvk9nqfheueHoPQFx35AzZUBVYkAoxZJ2Cdo8xL_7b6f9634-4f4d-4657-b42e-d0ff50cc7f4e.jpg?v=1706296478"
"Butterfly Shirt","15499767216200","14995968098596","warehouse","1","LimeGreen / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_8491a03f-5a76-4c5e-b313-74073f3ecdd5.jpg?v=1716985871"
"Stripped Basic Shirt","43499464600140","14995993035044","warehouse","1","3 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_a08bbb66-af57-412e-a027-236afe14cd89.jpg?v=1719415351"
"Brilliant Chiffon Scarf","10011001015082","14996175716644","warehouse","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/20_2ff3332c-af6d-46fe-8e43-6a10c1bdf9eb.jpg?v=1717417143"
"Breezy Chiffon Scarf","10011001015059","14996175749412","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/14_422ef8b9-0022-40ce-87ee-89cfeaa8b047.jpg?v=1717410897"
"Joyous Chiffon Scarf","10011001015164","14996175782180","warehouse","2","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_b062fb03-a314-4b2c-a12f-a5363efb60a6.jpg?v=1717405272"
"Joyous Chiffon Scarf","10011001015163","14996175814948","warehouse","2","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_c1aed184-345e-44d8-89d7-78969815e927.jpg?v=1717405272"
"Geometric Chiffon Scarf","10011001014937","14996175847716","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_4cb9eb65-c777-4fc3-8c0b-01edf780d0f0.jpg?v=1710678407"
"Midnight Chiffon Scarf","10011001014857","14996175880484","warehouse","1","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/4_3313e32f-1fa1-4eb8-994d-4b5414b29e9b.jpg?v=1710921314"
"Blossom Beauty Scarf","10011001014402","14996175913252","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/wUmuLxdMOp8V5wCMnexGWcbOgMKwYCQzJZExP7sO_2aae82b2-1dba-430b-ac35-46b2c677c943.jpg?v=1709421362"
"Arabian Black Scarf","10011001014926","14996175946020","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_b5e036b6-ae1c-4785-818b-bdd49b4699c3.jpg?v=1710674174"
"Cotton Kuwaiti Underscarf without Tie-Back","10022323701200","14996186824996","warehouse","1","Bisque","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/PSJSOVp0B5yfQv3byr87xIp59Lxzvh0eVG1lpA4n.jpg?v=1713082312"
"Cotton Kuwaiti Underscarf without Tie-Back","10022323722900","14996186923300","warehouse","1","GreyPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_08b6f74d-ceff-408f-9868-d968dbfbfef5.jpg?v=1713083057"
"Pure Cotton Kuwaiti Cap","10022322721700","14996187054372","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/Untitled-1-Recovered_c912b436-24a8-4433-ad1c-63e5f743641f.jpg?v=1717596709"
"Basic Turkish Clips","0002-01-42","14996198883620","warehouse","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/dOggwlS0kKbuNxMRY11Bhj8xtkPPDuJ7JrhCfCMQ_d18994a3-5bd6-4913-9a05-76ebd93c2bd4.jpg?v=1706293755"
"Lined Magnetic Pin","60444142112100","14996198949156","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/Untitled-2-Recovered.jpg?v=1717323758"
"Basic Turkish Clips","0002-01-44","14996198981924","warehouse","1","5","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/5Ua3AogLU3QWosu4Jw7zurccpfSS1zl9bPb4oDjk_fd4f8946-cbb6-4ea0-97fc-7d87241e2d1c.jpg?v=1706293755"
"Printed Satin Kimono","23499666760900","14996283261220","warehouse","1","7 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/23499666760900.jpg?v=1718187918"
"Soft Lycra Scarf","10411030807002","14996283293988","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/14_aef4cba8-ba65-44b8-a012-1ee896f0eebc.jpg?v=1712585118"
"Basic Lycra Scarf","10011030975056","14996283326756","warehouse","1","FireOrange","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_d1365052-25d0-44e5-a739-5dae79ff7252.jpg?v=1713106244"
"No Thread Underscarf With Tie-Back","10022323500100","14996380025124","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/e7T9I7qB9nGkOFq0fa8N8LBQJhIbwEMEtC1Nnvdo_fbd84a0a-75c4-4f88-9edd-b1d5f2a3134e.jpg?v=1706295767"
"Oversized Shirt","22499359321700","14996380090660","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_2720530b-4059-4cdc-8dbb-f39bf1c5d4fa.jpg?v=1717963802"
"Lined Lycra Scarf","10011030810113","14996407484708","warehouse","1","Cafe","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/15.png?v=1715848977"
"Plain Cotton Lycra Scarf","10011030951021","14996407550244","warehouse","1","FlamingoPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/ODM3sVr6FGu793laBlMAqettKU6maKieGk9IBhWa_f850d26e-afd4-4d07-87c1-89470c4e5a77.jpg?v=1707320426"
"Linen Pants","47499565300220","14996510146852","warehouse","1","Linen / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_d27b4deb-7c0c-4c07-98ed-b185ef9fb47e.jpg?v=1712392563"
"Hazy Viscose Isdal","57466060136415","14996546224420","warehouse","1","Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_47ee60b7-8c4e-4e6a-a335-bf72bf4261b1.jpg?v=1711880808"
"Liberty Viscose Isdal","10066060136582","14996546257188","warehouse","1","1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_e5d3f02d-37a3-46ea-a9ee-5517f7cb69c5.jpg?v=1719480409"
"Cotton Crinkle Scarf","10011030959199","14996659306788","warehouse","1","Petrol","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/cfh3LVDjK410ckArKUIbtjRtacxqX17MZUDBd9JK_5f2bedcc-2e42-4757-b78a-cef9da1ffdb2.jpg?v=1706297191"
"Soft Lycra Scarf","10411030807113","14996699119908","warehouse","1","BoneBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_0a614e7e-4b59-482f-b073-72012d8733d4.jpg?v=1712585147"
"Soft Lycra Scarf","10411030807116","14996699152676","warehouse","1","BlushPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_93d0fd0d-c487-4b93-9415-2b4dd86c78a7.jpg?v=1712585159"
"Lined Lycra Scarf","10011030810214","14996881801508","warehouse","1","Navy","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_64af5456-6250-468e-a1e1-7721a91dcbfb.png?v=1715848974"
